# data_column_name,cf_standard_name,long_name,imos_vocabulary_name,unit_name,unit_short_name
# abundance,number_concentration_of_biological_taxon_in_sea_water,taxonomic level abundance,Abundance of biota,,
# area,,state/territory where the survey was conducted,,,
# avg_rugosity,,average roughness of the floor surface,,,
# biomass,,estimated biomass,,Grams,g
# block,,number of the block ,,,
# category,,sub-class of the annotation schema,,,
# class,biological_taxon_name,identification of the biotic elements to the scientific classification group,Biotic taxonomic identification,,
# common_class_name,,common name of the taxonomic rank,,,
# common_family_name,,common name of the taxonomic rank,,,
# common_name,,common name of the taxonomic rank,,,
# common_phylum_name,,common name of the taxonomic rank,,,
# country,,country where the survey was conducted,,,
# currents,,currents index,,,
# depth,depth,,Depth below surface of the water body,Metres,m                                                                                                             
# direction,,compass direction,True bearing,,
# ecoregion,,ecological region where the survey was conducted,,,
# family,biological_taxon_name,identification of the biotic elements to the scientific classification group,Biotic taxonomic identification,,
# frequency,,rarity index frequency of the species,,,
# genus,biological_taxon_name,identification of the biotic elements to the scientific classification group,Biotic taxonomic identification,,
# has pqs catalogued in db,,survey has Photos Quadrats catalogued in database,,,
# has pq scores in db,,survey has Photo Quadrat scores in database,,,
# has rugosity scores in db,,survey has rugosity scores in database,,,
# hour,time,local time of sample collection,,,
# latest surveydate for site,,latest survey date at the site,,,
# latitude,latitude,,Latitude north,Degrees,deg                                                                                                           
# lat_zone,,latitudinal zone (eg. tropical/temperate/polar),,,
# location,,city/council where the survey was conducted,,,
# longitude,longitude,,Longitude east,Degrees,deg                                                                                                           
# major_category,,class of the annotation schema,,,
# max_length,,maximum length of the species,,Centimetres,cm
# max_rugosity,,maximum roughness of the floor surface,,,
# method,,identifier for method applied to collect the observation,,,
# methods,,list of methods applied to collect the survey observations,,,
# mpa,,Marine Protected Area,,,
# num_points,,number of points associated to the observed item,,,
# old_site_codes,,previous codes of the site, now updated to [site_code],,,
# order,biological_taxon_name,identification of the biotic elements to the scientific classification group,Biotic taxonomic identification,,
# percent_cover,,percentage of the surface covered by the observed item,,Percent,%                                                                                                             
# phylum,biological_taxon_name,identification of the biotic elements to the scientific classification group,Biotic taxonomic identification,,
# pq_zip_url,,url for the Photo Quadrat zip file,,,
# program,,acronym identifying the program(s) - RLS or ATRC,,,
# programs,,acronym identifying the program(s) - RLS or ATRC,,,
# province,,ecological province where the survey was collected,,,
# quadrat,,Quadrat number,,,
# range,,rarity index range of the species,,Kilometres,km
# realm,,realm where the survey was conducted,,,
# recorded_species_name,biological_taxon_name,identification of the biotic elements to the scientific classification group,Biotic taxonomic identification,,
# relief,,relief index,,,
# reporting_name,,reporting name for the observed species,,,
# resolution,,annotation schema,,,
# site_code,,code for the survey site,,,
# site_name,,name of the survey site,,,
# size_class,,size class,,Centimetres,cm
# slope,,slope index,,,
# species_id,,species identifier,,,
# species_name,biological_taxon_name,identification of the biotic elements to the scientific classification group,Biotic taxonomic identification,,
# superseded_ids,,species identifier of the superseded species,,,
# superseded_names,,name of the superseded species,,,
# surface,,type of substrate,,,
# survey_date,,local date,,Date,yyyy-mm-dd
# survey_id,,survey identification number,,,
# survey_latitude,latitude,,Latitude north,Degrees,deg                                                                                                           
# survey_longitude,longitude,,Longitude east,Degrees,deg                                                                                                           
# survey_notes,,additional notes about the survey,,,
# taxon,biological_taxon_name,identification of the biotic elements to the scientific classification group,Biotic taxonomic identification,,
# total,,total number of observations,,,
# total_points,,total number of point counted in the Quadrat,,,
# visibility,,the distance in water at which something can be seen,,Metres,m                                                                                                             
# wave_exposure,,wave exposure index,,,

FID,survey_id,country,area,ecoregion,realm,location,site_code,site_name,latitude,longitude,survey_date,depth,program,visibility,hour,survey_latitude,survey_longitude,method,block,phylum,class,order,family,species_name,reporting_name,size_class,total,biomass,geom
ep_m1_public_data.fid--1f707f45_1975bbf7031_2ec2,1003692,Panama,Kuna Yala,Southwestern Caribbean,Tropical Atlantic,San Blas,CAR25,Chichime SE,9.58,-78.88,2011-03-28,2,RLS,,,,,1,1,Chordata,Actinopterygii,Scorpaeniformes,Scorpaenidae,Pterois volitans,Pterois volitans,25,1,210.3469,POINT (-78.87999725341797 9.579999923706055)
ep_m1_public_data.fid--1f707f45_1975bbf7031_2ec3,1003692,Panama,Kuna Yala,Southwestern Caribbean,Tropical Atlantic,San Blas,CAR25,Chichime SE,9.58,-78.88,2011-03-28,2,RLS,,,,,1,1,Chordata,Actinopterygii,Tetraodontiformes,Tetraodontidae,Canthigaster rostrata,Canthigaster rostrata,2.5,2,1.4248,POINT (-78.87999725341797 9.579999923706055)
ep_m1_public_data.fid--1f707f45_1975bbf7031_2ec4,1003692,Panama,Kuna Yala,Southwestern Caribbean,Tropical Atlantic,San Blas,CAR25,Chichime SE,9.58,-78.88,2011-03-28,2,RLS,,,,,1,1,Chordata,Actinopterygii,Tetraodontiformes,Tetraodontidae,Canthigaster rostrata,Canthigaster rostrata,5,4,21.8688,POINT (-78.87999725341797 9.579999923706055)
ep_m1_public_data.fid--1f707f45_1975bbf7031_2ec5,1003692,Panama,Kuna Yala,Southwestern Caribbean,Tropical Atlantic,San Blas,CAR25,Chichime SE,9.58,-78.88,2011-03-28,2,RLS,,,,,1,2,Chordata,Actinopterygii,Beryciformes,Holocentridae,Holocentrus rufus,Holocentrus rufus,20,1,102.7206,POINT (-78.87999725341797 9.579999923706055)
ep_m1_public_data.fid--1f707f45_1975bbf7031_2ec6,1003692,Panama,Kuna Yala,Southwestern Caribbean,Tropical Atlantic,San Blas,CAR25,Chichime SE,9.58,-78.88,2011-03-28,2,RLS,,,,,1,2,Chordata,Actinopterygii,Beryciformes,Holocentridae,Holocentrus rufus,Holocentrus rufus,25,1,153.9247,POINT (-78.87999725341797 9.579999923706055)
ep_m1_public_data.fid--1f707f45_1975bbf7031_2ec7,1003692,Panama,Kuna Yala,Southwestern Caribbean,Tropical Atlantic,San Blas,CAR25,Chichime SE,9.58,-78.88,2011-03-28,2,RLS,,,,,1,2,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus bahianus,Acanthurus bahianus,12.5,6,240.0589,POINT (-78.87999725341797 9.579999923706055)
ep_m1_public_data.fid--1f707f45_1975bbf7031_2ec8,1003692,Panama,Kuna Yala,Southwestern Caribbean,Tropical Atlantic,San Blas,CAR25,Chichime SE,9.58,-78.88,2011-03-28,2,RLS,,,,,1,2,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus bahianus,Acanthurus bahianus,15,4,272.5435,POINT (-78.87999725341797 9.579999923706055)
ep_m1_public_data.fid--1f707f45_1975bbf7031_2ec9,1003692,Panama,Kuna Yala,Southwestern Caribbean,Tropical Atlantic,San Blas,CAR25,Chichime SE,9.58,-78.88,2011-03-28,2,RLS,,,,,1,2,Chordata,Actinopterygii,Perciformes,Chaetodontidae,Chaetodon capistratus,Chaetodon capistratus,10,4,217.1354,POINT (-78.87999725341797 9.579999923706055)
ep_m1_public_data.fid--1f707f45_1975bbf7031_2eca,1003692,Panama,Kuna Yala,Southwestern Caribbean,Tropical Atlantic,San Blas,CAR25,Chichime SE,9.58,-78.88,2011-03-28,2,RLS,,,,,1,2,Chordata,Actinopterygii,Perciformes,Chaetodontidae,Chaetodon capistratus,Chaetodon capistratus,12.5,2,216.3478,POINT (-78.87999725341797 9.579999923706055)
ep_m1_public_data.fid--1f707f45_1975bbf7031_2ecb,1003692,Panama,Kuna Yala,Southwestern Caribbean,Tropical Atlantic,San Blas,CAR25,Chichime SE,9.58,-78.88,2011-03-28,2,RLS,,,,,1,2,Chordata,Actinopterygii,Perciformes,Gobiidae,Coryphopterus glaucofraenum,Coryphopterus glaucofraenum,2.5,2,0.3947,POINT (-78.87999725341797 9.579999923706055)
