Site,Depth_m,Group,Family,Genus,Species,SL_mm,TL_mm
Casa Blanca,4.3,CB1,Gobiidae,Coryphopterus,Coryphopterus personatus,14.08,17.15
Casa Blanca,4.3,CB1,Gobiidae,Coryphopterus,Coryphopterus personatus,14.12,17.18
Casa Blanca,4.3,CB1,Gobiidae,Coryphopterus,Coryphopterus personatus,14.15,17.22
Casa Blanca,4.3,CB1,Gobiidae,Coryphopterus,Coryphopterus personatus,14.21,17.33
Casa Blanca,4.3,CB1,Gobiidae,Coryphopterus,Coryphopterus personatus,14.42,17.41
Casa Blanca,4.3,CB1,Gobiidae,Coryphopterus,Coryphopterus personatus,14.56,17.43
Casa Blanca,4.3,CB1,Gobiidae,Coryphopterus,Coryphopterus personatus,14.61,17.45
Casa Blanca,4.3,CB1,Gobiidae,Coryphopterus,Coryphopterus personatus,14.64,17.5
Casa Blanca,4.3,CB1,Gobiidae,Coryphopterus,Coryphopterus personatus,14.74,17.73
Casa Blanca,4.3,CB1,Gobiidae,Coryphopterus,Coryphopterus personatus,14.76,18.29
Casa Blanca,4.3,CB1,Gobiidae,Coryphopterus,Coryphopterus personatus,15.06,18.48
Casa Blanca,4.3,CB1,Gobiidae,Coryphopterus,Coryphopterus personatus,15.4,18.61
Casa Blanca,4.3,CB1,Gobiidae,Coryphopterus,Coryphopterus personatus,15.45,18.74
Casa Blanca,4.3,CB1,Gobiidae,Coryphopterus,Coryphopterus personatus,15.61,18.77
Casa Blanca,4.3,CB1,Gobiidae,Coryphopterus,Coryphopterus personatus,15.74,18.84
Casa Blanca,4.3,CB1,Gobiidae,Coryphopterus,Coryphopterus personatus,15.82,18.9
Casa Blanca,4.3,CB1,Gobiidae,Coryphopterus,Coryphopterus personatus,15.83,19.08
Casa Blanca,4.3,CB1,Gobiidae,Coryphopterus,Coryphopterus personatus,15.84,19.32
Casa Blanca,4.3,CB1,Gobiidae,Coryphopterus,Coryphopterus personatus,15.95,19.38
Casa Blanca,4.3,CB1,Gobiidae,Coryphopterus,Coryphopterus personatus,16.24,19.42
Casa Blanca,4.3,CB1,Gobiidae,Coryphopterus,Coryphopterus personatus,16.25,19.93
Casa Blanca,4.3,CB1,Gobiidae,Coryphopterus,Coryphopterus personatus,16.26,20.02
Casa Blanca,4.3,CB1,Gobiidae,Coryphopterus,Coryphopterus personatus,16.3,20.09
Casa Blanca,4.3,CB1,Gobiidae,Coryphopterus,Coryphopterus personatus,16.49,20.12
Casa Blanca,4.3,CB1,Gobiidae,Coryphopterus,Coryphopterus personatus,16.5,20.14
Casa Blanca,4.3,CB1,Gobiidae,Coryphopterus,Coryphopterus personatus,16.58,20.16
Casa Blanca,4.3,CB1,Gobiidae,Coryphopterus,Coryphopterus personatus,16.69,20.18
Casa Blanca,4.3,CB1,Gobiidae,Coryphopterus,Coryphopterus personatus,16.73,20.27
Casa Blanca,4.3,CB1,Gobiidae,Coryphopterus,Coryphopterus personatus,16.79,20.29
Casa Blanca,4.3,CB1,Gobiidae,Coryphopterus,Coryphopterus personatus,16.87,20.38
Casa Blanca,4.3,CB1,Gobiidae,Coryphopterus,Coryphopterus personatus,16.91,20.39
Casa Blanca,4.3,CB1,Gobiidae,Coryphopterus,Coryphopterus personatus,16.95,20.64
Casa Blanca,4.3,CB1,Gobiidae,Coryphopterus,Coryphopterus personatus,17.07,20.85
Casa Blanca,4.3,CB1,Gobiidae,Coryphopterus,Coryphopterus personatus,17.5,21.01
Casa Blanca,4.3,CB1,Gobiidae,Coryphopterus,Coryphopterus personatus,17.51,22.07
Casa Blanca,4.3,CB1,Gobiidae,Coryphopterus,Coryphopterus personatus,17.52,22.97
Casa Blanca,4.3,CB1,Gobiidae,Coryphopterus,Coryphopterus personatus,17.59,22.99
Casa Blanca,4.3,CB1,Gobiidae,Coryphopterus,Coryphopterus personatus,18.29,23.72
Casa Blanca,4.3,CB1,Gobiidae,Coryphopterus,Coryphopterus personatus,19.04,23.95
Casa Blanca,4.3,CB1,Gobiidae,Coryphopterus,Coryphopterus personatus,19.34,24.82
Casa Blanca,4.3,CB1,Gobiidae,Coryphopterus,Coryphopterus personatus,19.49,25.21
Casa Blanca,4.3,CB1,Gobiidae,Coryphopterus,Coryphopterus personatus,19.79,25.86
Casa Blanca,4.3,CB1,Gobiidae,Coryphopterus,Coryphopterus personatus,20.17,26.09
Casa Blanca,4.3,CB1,Gobiidae,Coryphopterus,Coryphopterus personatus,20.47,26.14
Casa Blanca,4.3,CB1,Gobiidae,Coryphopterus,Coryphopterus personatus,20.58,26.16
Casa Blanca,4.3,CB1,Gobiidae,Coryphopterus,Coryphopterus personatus,20.97,26.23
Casa Blanca,4.3,CB1,Gobiidae,Coryphopterus,Coryphopterus personatus,21.12,26.28
Casa Blanca,4.3,CB1,Gobiidae,Coryphopterus,Coryphopterus personatus,21.13,26.5
Casa Blanca,4.3,CB1,Gobiidae,Coryphopterus,Coryphopterus personatus,21.29,26.94
Casa Blanca,4.3,CB1,Gobiidae,Coryphopterus,Coryphopterus personatus,21.86,27.41
Casa Blanca,4.3,CB1,Gobiidae,Coryphopterus,Coryphopterus personatus,21.93,27.62
Casa Blanca,4.3,CB1,Gobiidae,Coryphopterus,Coryphopterus personatus,22.14,.
Casa Blanca,4.3,CB1,Gobiidae,Coryphopterus,Coryphopterus personatus,22.5,.
Casa Blanca,4.3,CB1,Gobiidae,Coryphopterus,Coryphopterus personatus,22.79,14.81
Casa Blanca,4.3,CB1,Gobiidae,Coryphopterus,Coryphopterus personatus,23.06,19.94
Casa Blanca,4.3,CB1,Gobiidae,Coryphopterus,Coryphopterus tortugae,12.22,50.5
Casa Blanca,4.3,CB1,Gobiidae,Coryphopterus,Coryphopterus tortugae,16.58,.
Casa Blanca,4.3,CB1,Gobiidae,Gnatholepis,Gnatholepis thompsoni,38.63,17.32
Casa Blanca,4.3,CB1,Gobiidae,Risor,Risor ruber,11.66,.
Casa Blanca,4.3,CB1,Gobiidae,Risor,Risor ruber,14.73,13.19
Casa Blanca,4.3,CB1,Gobiidae,Risor,Risor ruber,18.59,.
Casa Blanca,4.3,CB1,Gobiidae,Tigrigobius,Tigrigobius saucrus,10.99,91.8
Casa Blanca,4.3,CB1,Pomacentridae,Stegastes,Stegastes planifrons,69.41,.
Casa Blanca,4.3,CB1,Pomacentridae,Stegastes,Stegastes planifrons,77.13,.
