Sample,Type_age,Region,Locality,Family,genus,MajorAxisLength,MinorAxisLength,oto_length_mm,oto_length_um
AT14-2-2,Sub Recent,Bocas,Punta Donato,Gobiidae,NA,81.0844256,72.12246654,0.810844256,810.844256
AFH12-1-2-3-R,Sub Recent,Bocas,Casa Blanca,Gobiidae,NA,81.09909356,70.8519172,0.810990936,810.9909356
AFH12-1-2-3-R,Sub Recent,Bocas,Casa Blanca,Gobiidae,NA,81.21236973,86.23621991,0.812123697,812.1236973
AT14-2-2,Sub Recent,Bocas,Punta Donato,Gobiidae,NA,81.23514197,74.94211546,0.81235142,812.3514197
AT14-2-2,Sub Recent,Bocas,Punta Donato,Gobiidae,NA,81.38009791,63.32545813,0.813800979,813.8009791
AT14-2-2,Sub Recent,Bocas,Punta Donato,Gobiidae,NA,81.58457333,86.9824585,0.815845733,815.8457333
AFH12-1-2-3-R,Sub Recent,Bocas,Casa Blanca,Gobiidae,NA,81.70165838,73.16110402,0.817016584,817.0165838
AT12-1-3-1,Sub Recent,Bocas,STRI Point,Gobiidae,NA,81.80518481,66.91328914,0.818051848,818.0518481
AT12-1-4-1,Sub Recent,Bocas,STRI Point,Gobiidae,NA,81.81808697,69.6991598,0.81818087,818.1808697
AFH12-1-2-3-R,Sub Recent,Bocas,Casa Blanca,Gobiidae,NA,81.88879563,87.33400018,0.818887956,818.8879563
AFH12-1-2-3-R,Sub Recent,Bocas,Casa Blanca,Gobiidae,NA,81.90808755,63.54965654,0.819080876,819.0808755
AFH12-1-2-3-R,Sub Recent,Bocas,Casa Blanca,Gobiidae,NA,82.13144462,89.80316826,0.821314446,821.3144462
AT12-1-4-1,Sub Recent,Bocas,STRI Point,Gobiidae,NA,82.14514572,68.52070185,0.821451457,821.4514572
AT14-1-2,Sub Recent,Bocas,Casa Blanca new,Gobiidae,NA,82.23137445,72.53404765,0.822313745,822.3137445
AT14-2-2,Sub Recent,Bocas,Punta Donato,Gobiidae,NA,82.23137619,82.27073127,0.822313762,822.3137619
AT14-2-2,Sub Recent,Bocas,Punta Donato,Gobiidae,NA,82.2479673,77.75469673,0.822479673,822.479673
AT12-4-3-1,Sub Recent,Bocas,SW Bocas Island,Gobiidae,NA,82.28224092,66.738409,0.822822409,822.8224092
AT12-1-4-1,Sub Recent,Bocas,STRI Point,Gobiidae,NA,82.29037241,66.61708693,0.822903724,822.9037241
AT12-1-1-1,Sub Recent,Bocas,STRI Point,Gobiidae,NA,82.29439006,53.96268436,0.822943901,822.9439006
AT14-2-2,Sub Recent,Bocas,Punta Donato,Gobiidae,NA,82.34931937,92.82883824,0.823493194,823.4931937
AFH12-1-2-3-R,Sub Recent,Bocas,Casa Blanca,Gobiidae,NA,82.49500777,75.0748274,0.824950078,824.9500777
AT12-3-3-1,Sub Recent,Bocas,Playa Estrella,Gobiidae,NA,82.51066822,74.86014827,0.825106682,825.1066822
AFH12-1-2-3-R,Sub Recent,Bocas,Casa Blanca,Gobiidae,NA,82.66356982,78.88918506,0.826635698,826.6356982
AFH12-1-2-3-R,Sub Recent,Bocas,Casa Blanca,Gobiidae,NA,82.67441969,83.97938503,0.826744197,826.7441969
AT12-6-3-1,Holocene,Dominican Republic,Cañon los Rios,Gobiidae,NA,110.8360461,86.51303471,1.108360461,1108.360461
AT12-1-2-2,Sub Recent,Bocas,STRI Point,Gobiidae,NA,82.6751231,70.13600328,0.826751231,826.751231
AT14-1-8,Sub Recent,Bocas,Casa Blanca new,Gobiidae,NA,82.83643138,74.57318692,0.828364314,828.3643138
