Collection_Number,Order,Family,genus,species,Complete_name,Ocean,Site,Locality,standard_length_mm,total_length_mm,standard_length_cm,total_length_cm,mass_g,Otolith_length_mm,right otolith length mm,right_Otolith_width_mm,right_Otolith_mass_g,Collection,Collector,Compiler
BTSLSIII07,Perciformes,Lutjanidae,Lutjanus,synagris,Lutjanus synagris,Caribbean,South-western Atlantic.,,155,192,15.5,19.2,95.15,8.93,8.93,5.5,0.0812,"Assis, DAS, Santos, JA, Moraes, LE, Santos, ACA. Biometric relation between body size and otolith size of seven commercial fish species of the south-western Atlantic. J Appl Ichthyol. 2018; 34: 1176– 1179. https://doi.org/10.1111/jai.13744","Assis, DAS",Aaron O'Dea
BTSLSIII10,Perciformes,Lutjanidae,Lutjanus,synagris,Lutjanus synagris,Caribbean,South-western Atlantic.,,182,230,18.2,23,175.1,10.84,10.84,6.57,0.1322,"Assis, DAS, Santos, JA, Moraes, LE, Santos, ACA. Biometric relation between body size and otolith size of seven commercial fish species of the south-western Atlantic. J Appl Ichthyol. 2018; 34: 1176– 1179. https://doi.org/10.1111/jai.13744","Assis, DAS",Aaron O'Dea
BTSLSIII11,Perciformes,Lutjanidae,Lutjanus,synagris,Lutjanus synagris,Caribbean,South-western Atlantic.,,240,302,24,30.2,435.27,13.58,13.58,7.49,0.2196,"Assis, DAS, Santos, JA, Moraes, LE, Santos, ACA. Biometric relation between body size and otolith size of seven commercial fish species of the south-western Atlantic. J Appl Ichthyol. 2018; 34: 1176– 1179. https://doi.org/10.1111/jai.13744","Assis, DAS",Aaron O'Dea
BTSLSIII15,Perciformes,Lutjanidae,Lutjanus,synagris,Lutjanus synagris,Caribbean,South-western Atlantic.,,155,200,15.5,20,115.13,9.21,9.21,5.46,0.0849,"Assis, DAS, Santos, JA, Moraes, LE, Santos, ACA. Biometric relation between body size and otolith size of seven commercial fish species of the south-western Atlantic. J Appl Ichthyol. 2018; 34: 1176– 1179. https://doi.org/10.1111/jai.13744","Assis, DAS",Aaron O'Dea
BTSLSIV01,Perciformes,Lutjanidae,Lutjanus,synagris,Lutjanus synagris,Caribbean,South-western Atlantic.,,127,160,12.7,16,61.09,7.79,7.79,4.87,0.0558,"Assis, DAS, Santos, JA, Moraes, LE, Santos, ACA. Biometric relation between body size and otolith size of seven commercial fish species of the south-western Atlantic. J Appl Ichthyol. 2018; 34: 1176– 1179. https://doi.org/10.1111/jai.13744","Assis, DAS",Aaron O'Dea
BTSLSIV02,Perciformes,Lutjanidae,Lutjanus,synagris,Lutjanus synagris,Caribbean,South-western Atlantic.,,136,170,13.6,17,77.74,9.08,9.08,5.46,0.0912,"Assis, DAS, Santos, JA, Moraes, LE, Santos, ACA. Biometric relation between body size and otolith size of seven commercial fish species of the south-western Atlantic. J Appl Ichthyol. 2018; 34: 1176– 1179. https://doi.org/10.1111/jai.13744","Assis, DAS",Aaron O'Dea
BTSLSIV05,Perciformes,Lutjanidae,Lutjanus,synagris,Lutjanus synagris,Caribbean,South-western Atlantic.,,200,263,20,26.3,256.51,11.6,11.6,7.04,0.172,"Assis, DAS, Santos, JA, Moraes, LE, Santos, ACA. Biometric relation between body size and otolith size of seven commercial fish species of the south-western Atlantic. J Appl Ichthyol. 2018; 34: 1176– 1179. https://doi.org/10.1111/jai.13744","Assis, DAS",Aaron O'Dea
BTSLSV01,Perciformes,Lutjanidae,Lutjanus,synagris,Lutjanus synagris,Caribbean,South-western Atlantic.,,96,124,9.6,12.4,29.78,6.53,6.53,4.09,0.0374,"Assis, DAS, Santos, JA, Moraes, LE, Santos, ACA. Biometric relation between body size and otolith size of seven commercial fish species of the south-western Atlantic. J Appl Ichthyol. 2018; 34: 1176– 1179. https://doi.org/10.1111/jai.13744","Assis, DAS",Aaron O'Dea
BTSLSV02,Perciformes,Lutjanidae,Lutjanus,synagris,Lutjanus synagris,Caribbean,South-western Atlantic.,,100,129,10,12.9,30.39,6.75,6.75,4.2,0.0366,"Assis, DAS, Santos, JA, Moraes, LE, Santos, ACA. Biometric relation between body size and otolith size of seven commercial fish species of the south-western Atlantic. J Appl Ichthyol. 2018; 34: 1176– 1179. https://doi.org/10.1111/jai.13744","Assis, DAS",Aaron O'Dea
BTSLSV03,Perciformes,Lutjanidae,Lutjanus,synagris,Lutjanus synagris,Caribbean,South-western Atlantic.,,100,127,10,12.7,31.06,6.76,6.76,4.04,0.0377,"Assis, DAS, Santos, JA, Moraes, LE, Santos, ACA. Biometric relation between body size and otolith size of seven commercial fish species of the south-western Atlantic. J Appl Ichthyol. 2018; 34: 1176– 1179. https://doi.org/10.1111/jai.13744","Assis, DAS",Aaron O'Dea
BTSLSV05,Perciformes,Lutjanidae,Lutjanus,synagris,Lutjanus synagris,Caribbean,South-western Atlantic.,,114,143,11.4,14.3,44.45,7.4,7.4,4.63,0.0491,"Assis, DAS, Santos, JA, Moraes, LE, Santos, ACA. Biometric relation between body size and otolith size of seven commercial fish species of the south-western Atlantic. J Appl Ichthyol. 2018; 34: 1176– 1179. https://doi.org/10.1111/jai.13744","Assis, DAS",Aaron O'Dea
BTSLSV08,Perciformes,Lutjanidae,Lutjanus,synagris,Lutjanus synagris,Caribbean,South-western Atlantic.,,125,156,12.5,15.6,71.47,8.12,8.12,5.2,0.0632,"Assis, DAS, Santos, JA, Moraes, LE, Santos, ACA. Biometric relation between body size and otolith size of seven commercial fish species of the south-western Atlantic. J Appl Ichthyol. 2018; 34: 1176– 1179. https://doi.org/10.1111/jai.13744","Assis, DAS",Aaron O'Dea
BTSLSV09,Perciformes,Lutjanidae,Lutjanus,synagris,Lutjanus synagris,Caribbean,South-western Atlantic.,,127,160,12.7,16,65.42,8.05,8.05,5.04,0.062,"Assis, DAS, Santos, JA, Moraes, LE, Santos, ACA. Biometric relation between body size and otolith size of seven commercial fish species of the south-western Atlantic. J Appl Ichthyol. 2018; 34: 1176– 1179. https://doi.org/10.1111/jai.13744","Assis, DAS",Aaron O'Dea
BTSLSV10,Perciformes,Lutjanidae,Lutjanus,synagris,Lutjanus synagris,Caribbean,South-western Atlantic.,,135,173,13.5,17.3,83.07,8.5,8.5,5.11,0.0667,"Assis, DAS, Santos, JA, Moraes, LE, Santos, ACA. Biometric relation between body size and otolith size of seven commercial fish species of the south-western Atlantic. J Appl Ichthyol. 2018; 34: 1176– 1179. https://doi.org/10.1111/jai.13744","Assis, DAS",Aaron O'Dea
BTSLSVI01,Perciformes,Lutjanidae,Lutjanus,synagris,Lutjanus synagris,Caribbean,South-western Atlantic.,,98,123,9.8,12.3,30.25,6.62,6.62,3.74,0,"Assis, DAS, Santos, JA, Moraes, LE, Santos, ACA. Biometric relation between body size and otolith size of seven commercial fish species of the south-western Atlantic. J Appl Ichthyol. 2018; 34: 1176– 1179. https://doi.org/10.1111/jai.13744","Assis, DAS",Aaron O'Dea
CAMLSIV01,Perciformes,Lutjanidae,Lutjanus,synagris,Lutjanus synagris,Caribbean,South-western Atlantic.,,140,183,14,18.3,93.61,8.54,8.54,5.44,0.0758,"Assis, DAS, Santos, JA, Moraes, LE, Santos, ACA. Biometric relation between body size and otolith size of seven commercial fish species of the south-western Atlantic. J Appl Ichthyol. 2018; 34: 1176– 1179. https://doi.org/10.1111/jai.13744","Assis, DAS",Aaron O'Dea
CAMLSIV03,Perciformes,Lutjanidae,Lutjanus,synagris,Lutjanus synagris,Caribbean,South-western Atlantic.,,143,185,14.3,18.5,96.01,8.68,8.68,5.41,0.0844,"Assis, DAS, Santos, JA, Moraes, LE, Santos, ACA. Biometric relation between body size and otolith size of seven commercial fish species of the south-western Atlantic. J Appl Ichthyol. 2018; 34: 1176– 1179. https://doi.org/10.1111/jai.13744","Assis, DAS",Aaron O'Dea
CAMLSIV04,Perciformes,Lutjanidae,Lutjanus,synagris,Lutjanus synagris,Caribbean,South-western Atlantic.,,110,137,11,13.7,40.5,6.71,6.71,4.13,0.0368,"Assis, DAS, Santos, JA, Moraes, LE, Santos, ACA. Biometric relation between body size and otolith size of seven commercial fish species of the south-western Atlantic. J Appl Ichthyol. 2018; 34: 1176– 1179. https://doi.org/10.1111/jai.13744","Assis, DAS",Aaron O'Dea
CAMLSIV05,Perciformes,Lutjanidae,Lutjanus,synagris,Lutjanus synagris,Caribbean,South-western Atlantic.,,112,144,11.2,14.4,49.27,6.82,6.82,4.18,0.0407,"Assis, DAS, Santos, JA, Moraes, LE, Santos, ACA. Biometric relation between body size and otolith size of seven commercial fish species of the south-western Atlantic. J Appl Ichthyol. 2018; 34: 1176– 1179. https://doi.org/10.1111/jai.13744","Assis, DAS",Aaron O'Dea
CAMLSIV06,Perciformes,Lutjanidae,Lutjanus,synagris,Lutjanus synagris,Caribbean,South-western Atlantic.,,112,145,11.2,14.5,49.73,7.54,7.54,4.59,0.0523,"Assis, DAS, Santos, JA, Moraes, LE, Santos, ACA. Biometric relation between body size and otolith size of seven commercial fish species of the south-western Atlantic. J Appl Ichthyol. 2018; 34: 1176– 1179. https://doi.org/10.1111/jai.13744","Assis, DAS",Aaron O'Dea
CAMLSIV07,Perciformes,Lutjanidae,Lutjanus,synagris,Lutjanus synagris,Caribbean,South-western Atlantic.,,111,143,11.1,14.3,42.81,6.73,6.73,4.28,0.0388,"Assis, DAS, Santos, JA, Moraes, LE, Santos, ACA. Biometric relation between body size and otolith size of seven commercial fish species of the south-western Atlantic. J Appl Ichthyol. 2018; 34: 1176– 1179. https://doi.org/10.1111/jai.13744","Assis, DAS",Aaron O'Dea
CAMLSIV08,Perciformes,Lutjanidae,Lutjanus,synagris,Lutjanus synagris,Caribbean,South-western Atlantic.,,105,134,10.5,13.4,37.32,6.52,6.52,4.08,0.0361,"Assis, DAS, Santos, JA, Moraes, LE, Santos, ACA. Biometric relation between body size and otolith size of seven commercial fish species of the south-western Atlantic. J Appl Ichthyol. 2018; 34: 1176– 1179. https://doi.org/10.1111/jai.13744","Assis, DAS",Aaron O'Dea
CAMLSIV10,Perciformes,Lutjanidae,Lutjanus,synagris,Lutjanus synagris,Caribbean,South-western Atlantic.,,92,117,9.2,11.7,26.12,6.14,6.14,3.57,0.026,"Assis, DAS, Santos, JA, Moraes, LE, Santos, ACA. Biometric relation between body size and otolith size of seven commercial fish species of the south-western Atlantic. J Appl Ichthyol. 2018; 34: 1176– 1179. https://doi.org/10.1111/jai.13744","Assis, DAS",Aaron O'Dea
CAMLSIV11,Perciformes,Lutjanidae,Lutjanus,synagris,Lutjanus synagris,Caribbean,South-western Atlantic.,,95,121,9.5,12.1,28.41,6.16,6.16,3.67,0.0296,"Assis, DAS, Santos, JA, Moraes, LE, Santos, ACA. Biometric relation between body size and otolith size of seven commercial fish species of the south-western Atlantic. J Appl Ichthyol. 2018; 34: 1176– 1179. https://doi.org/10.1111/jai.13744","Assis, DAS",Aaron O'Dea
CAMLSIV13,Perciformes,Lutjanidae,Lutjanus,synagris,Lutjanus synagris,Caribbean,South-western Atlantic.,,75,95,7.5,9.5,13.15,4.91,4.91,3.05,0.0165,"Assis, DAS, Santos, JA, Moraes, LE, Santos, ACA. Biometric relation between body size and otolith size of seven commercial fish species of the south-western Atlantic. J Appl Ichthyol. 2018; 34: 1176– 1179. https://doi.org/10.1111/jai.13744","Assis, DAS",Aaron O'Dea
CAMLSIV14,Perciformes,Lutjanidae,Lutjanus,synagris,Lutjanus synagris,Caribbean,South-western Atlantic.,,85,112,8.5,11.2,22.23,5.76,5.76,3.62,0.0233,"Assis, DAS, Santos, JA, Moraes, LE, Santos, ACA. Biometric relation between body size and otolith size of seven commercial fish species of the south-western Atlantic. J Appl Ichthyol. 2018; 34: 1176– 1179. https://doi.org/10.1111/jai.13744","Assis, DAS",Aaron O'Dea
CAMLSIV15,Perciformes,Lutjanidae,Lutjanus,synagris,Lutjanus synagris,Caribbean,South-western Atlantic.,,86,110,8.6,11,19.28,5.64,5.64,3.39,0.0216,"Assis, DAS, Santos, JA, Moraes, LE, Santos, ACA. Biometric relation between body size and otolith size of seven commercial fish species of the south-western Atlantic. J Appl Ichthyol. 2018; 34: 1176– 1179. https://doi.org/10.1111/jai.13744","Assis, DAS",Aaron O'Dea
CAMLSIV16,Perciformes,Lutjanidae,Lutjanus,synagris,Lutjanus synagris,Caribbean,South-western Atlantic.,,66,84,6.6,8.4,9.12,4.28,4.28,2.53,0.0102,"Assis, DAS, Santos, JA, Moraes, LE, Santos, ACA. Biometric relation between body size and otolith size of seven commercial fish species of the south-western Atlantic. J Appl Ichthyol. 2018; 34: 1176– 1179. https://doi.org/10.1111/jai.13744","Assis, DAS",Aaron O'Dea
CAMLSIV17,Perciformes,Lutjanidae,Lutjanus,synagris,Lutjanus synagris,Caribbean,South-western Atlantic.,,65,85,6.5,8.5,9.71,4.25,4.25,2.65,0.011,"Assis, DAS, Santos, JA, Moraes, LE, Santos, ACA. Biometric relation between body size and otolith size of seven commercial fish species of the south-western Atlantic. J Appl Ichthyol. 2018; 34: 1176– 1179. https://doi.org/10.1111/jai.13744","Assis, DAS",Aaron O'Dea
CAMLSIV18,Perciformes,Lutjanidae,Lutjanus,synagris,Lutjanus synagris,Caribbean,South-western Atlantic.,,65,84,6.5,8.4,9.47,4.32,4.32,2.62,0.0106,"Assis, DAS, Santos, JA, Moraes, LE, Santos, ACA. Biometric relation between body size and otolith size of seven commercial fish species of the south-western Atlantic. J Appl Ichthyol. 2018; 34: 1176– 1179. https://doi.org/10.1111/jai.13744","Assis, DAS",Aaron O'Dea
CAMLSIV19,Perciformes,Lutjanidae,Lutjanus,synagris,Lutjanus synagris,Caribbean,South-western Atlantic.,,63,82,6.3,8.2,8.94,4.22,4.22,2.61,0.0106,"Assis, DAS, Santos, JA, Moraes, LE, Santos, ACA. Biometric relation between body size and otolith size of seven commercial fish species of the south-western Atlantic. J Appl Ichthyol. 2018; 34: 1176– 1179. https://doi.org/10.1111/jai.13744","Assis, DAS",Aaron O'Dea
CAMLSIV20,Perciformes,Lutjanidae,Lutjanus,synagris,Lutjanus synagris,Caribbean,South-western Atlantic.,,61,80,6.1,8,7.71,4.07,4.07,2.54,0.0096,"Assis, DAS, Santos, JA, Moraes, LE, Santos, ACA. Biometric relation between body size and otolith size of seven commercial fish species of the south-western Atlantic. J Appl Ichthyol. 2018; 34: 1176– 1179. https://doi.org/10.1111/jai.13744","Assis, DAS",Aaron O'Dea
CAMLSIV21,Perciformes,Lutjanidae,Lutjanus,synagris,Lutjanus synagris,Caribbean,South-western Atlantic.,,55,71,5.5,7.1,6.02,3.99,3.99,2.34,0.0081,"Assis, DAS, Santos, JA, Moraes, LE, Santos, ACA. Biometric relation between body size and otolith size of seven commercial fish species of the south-western Atlantic. J Appl Ichthyol. 2018; 34: 1176– 1179. https://doi.org/10.1111/jai.13744","Assis, DAS",Aaron O'Dea
CARLSIII02,Perciformes,Lutjanidae,Lutjanus,synagris,Lutjanus synagris,Caribbean,South-western Atlantic.,,255,446,25.5,44.6,1259.81,19.71,19.71,10.38,0.7089,"Assis, DAS, Santos, JA, Moraes, LE, Santos, ACA. Biometric relation between body size and otolith size of seven commercial fish species of the south-western Atlantic. J Appl Ichthyol. 2018; 34: 1176– 1179. https://doi.org/10.1111/jai.13744","Assis, DAS",Aaron O'Dea
CARLSIII04,Perciformes,Lutjanidae,Lutjanus,synagris,Lutjanus synagris,Caribbean,South-western Atlantic.,,272,342,27.2,34.2,533.28,14.8,14.8,8.44,0.3233,"Assis, DAS, Santos, JA, Moraes, LE, Santos, ACA. Biometric relation between body size and otolith size of seven commercial fish species of the south-western Atlantic. J Appl Ichthyol. 2018; 34: 1176– 1179. https://doi.org/10.1111/jai.13744","Assis, DAS",Aaron O'Dea
CARLSIII09,Perciformes,Lutjanidae,Lutjanus,synagris,Lutjanus synagris,Caribbean,South-western Atlantic.,,164,207,16.4,20.7,143.1,10.23,10.23,6.42,0.1457,"Assis, DAS, Santos, JA, Moraes, LE, Santos, ACA. Biometric relation between body size and otolith size of seven commercial fish species of the south-western Atlantic. J Appl Ichthyol. 2018; 34: 1176– 1179. https://doi.org/10.1111/jai.13744","Assis, DAS",Aaron O'Dea
CARLSIII10,Perciformes,Lutjanidae,Lutjanus,synagris,Lutjanus synagris,Caribbean,South-western Atlantic.,,166,212,16.6,21.2,147.59,10.19,10.19,6.02,0.1179,"Assis, DAS, Santos, JA, Moraes, LE, Santos, ACA. Biometric relation between body size and otolith size of seven commercial fish species of the south-western Atlantic. J Appl Ichthyol. 2018; 34: 1176– 1179. https://doi.org/10.1111/jai.13744","Assis, DAS",Aaron O'Dea
CARLSIII11,Perciformes,Lutjanidae,Lutjanus,synagris,Lutjanus synagris,Caribbean,South-western Atlantic.,,175,224,17.5,22.4,188.18,10.58,10.58,6.42,0.1363,"Assis, DAS, Santos, JA, Moraes, LE, Santos, ACA. Biometric relation between body size and otolith size of seven commercial fish species of the south-western Atlantic. J Appl Ichthyol. 2018; 34: 1176– 1179. https://doi.org/10.1111/jai.13744","Assis, DAS",Aaron O'Dea
CARLSV01,Perciformes,Lutjanidae,Lutjanus,synagris,Lutjanus synagris,Caribbean,South-western Atlantic.,,295,370,29.5,37,702.02,16.64,16.64,9.34,0.517,"Assis, DAS, Santos, JA, Moraes, LE, Santos, ACA. Biometric relation between body size and otolith size of seven commercial fish species of the south-western Atlantic. J Appl Ichthyol. 2018; 34: 1176– 1179. https://doi.org/10.1111/jai.13744","Assis, DAS",Aaron O'Dea
CARLSV02,Perciformes,Lutjanidae,Lutjanus,synagris,Lutjanus synagris,Caribbean,South-western Atlantic.,,302,380,30.2,38,833.08,17.92,17.92,10.45,0.5656,"Assis, DAS, Santos, JA, Moraes, LE, Santos, ACA. Biometric relation between body size and otolith size of seven commercial fish species of the south-western Atlantic. J Appl Ichthyol. 2018; 34: 1176– 1179. https://doi.org/10.1111/jai.13744","Assis, DAS",Aaron O'Dea
CARLSV03,Perciformes,Lutjanidae,Lutjanus,synagris,Lutjanus synagris,Caribbean,South-western Atlantic.,,357,426,35.7,42.6,1136.33,19.58,19.58,10.87,0.7403,"Assis, DAS, Santos, JA, Moraes, LE, Santos, ACA. Biometric relation between body size and otolith size of seven commercial fish species of the south-western Atlantic. J Appl Ichthyol. 2018; 34: 1176– 1179. https://doi.org/10.1111/jai.13744","Assis, DAS",Aaron O'Dea
CARLSV04,Perciformes,Lutjanidae,Lutjanus,synagris,Lutjanus synagris,Caribbean,South-western Atlantic.,,336,411,33.6,41.1,941.06,15.66,15.66,9.26,0.5067,"Assis, DAS, Santos, JA, Moraes, LE, Santos, ACA. Biometric relation between body size and otolith size of seven commercial fish species of the south-western Atlantic. J Appl Ichthyol. 2018; 34: 1176– 1179. https://doi.org/10.1111/jai.13744","Assis, DAS",Aaron O'Dea
CARLSV05,Perciformes,Lutjanidae,Lutjanus,synagris,Lutjanus synagris,Caribbean,South-western Atlantic.,,285,360,28.5,36,645.53,15.39,15.39,8.5,0.3966,"Assis, DAS, Santos, JA, Moraes, LE, Santos, ACA. Biometric relation between body size and otolith size of seven commercial fish species of the south-western Atlantic. J Appl Ichthyol. 2018; 34: 1176– 1179. https://doi.org/10.1111/jai.13744","Assis, DAS",Aaron O'Dea
CARLSV06,Perciformes,Lutjanidae,Lutjanus,synagris,Lutjanus synagris,Caribbean,South-western Atlantic.,,283,354,28.3,35.4,647.08,15.35,15.35,8.4,0.4081,"Assis, DAS, Santos, JA, Moraes, LE, Santos, ACA. Biometric relation between body size and otolith size of seven commercial fish species of the south-western Atlantic. J Appl Ichthyol. 2018; 34: 1176– 1179. https://doi.org/10.1111/jai.13744","Assis, DAS",Aaron O'Dea
CARLSV07,Perciformes,Lutjanidae,Lutjanus,synagris,Lutjanus synagris,Caribbean,South-western Atlantic.,,270,337,27,33.7,567.18,15.66,15.66,9.26,0.4615,"Assis, DAS, Santos, JA, Moraes, LE, Santos, ACA. Biometric relation between body size and otolith size of seven commercial fish species of the south-western Atlantic. J Appl Ichthyol. 2018; 34: 1176– 1179. https://doi.org/10.1111/jai.13744","Assis, DAS",Aaron O'Dea
CARLSV09,Perciformes,Lutjanidae,Lutjanus,synagris,Lutjanus synagris,Caribbean,South-western Atlantic.,,230,293,23,29.3,382.72,13.43,13.43,8.05,0.3526,"Assis, DAS, Santos, JA, Moraes, LE, Santos, ACA. Biometric relation between body size and otolith size of seven commercial fish species of the south-western Atlantic. J Appl Ichthyol. 2018; 34: 1176– 1179. https://doi.org/10.1111/jai.13744","Assis, DAS",Aaron O'Dea
