"","family","biomass_mean","biomass_sd","biomass_stderr"
"1","Apogonidae",5.59620823419795,4.73691630421446,0.824591286695981
"2","Atherinidae",3.60642211890159,5.80811613714356,1.09763077747593
"3","Batrachoididae",18.6524653371091,26.6080629513566,15.3621723075802
"4","Bregmacerotidae",7.10005834587091,9.79021355907038,3.70035290850183
"5","Bythitidae",4.54538544434591,5.30133924168406,1.10540564569753
"6","Clupeidae",11.1285481065883,8.30867890482082,2.01515063140691
"7","Engraulidae",50.2886639978294,21.4570415596596,3.67985226882563
"8","Gerreidae",21.7419292325515,18.7436800289117,9.37184001445583
"9","Gobiidae",17.2843064498272,15.2610080773233,2.47566241819144
"10","Haemulidae",24.6847311546686,9.54468945792026,4.77234472896013
"11","Labridae",38.8918463893528,29.4274996426027,9.30579247144156
"12","Pomacentridae",14.3027427197386,8.78007068408078,3.31855478909236
"13","Serranidae",12.2243589867957,14.9161389083819,7.45806945419093
"14","Synodontidae",24.6983600304492,NA,NA
