"","family","sample","oto_length_mm","oto_length_um","type_age","region","locality","source","oto_width_mm","fish_length_cm"
"25","Apogonidae","AT14-1-1",1.292959652,1292.959652,"Sub Recent","Bocas","Casa Blanca","orig_df",0.9386722543,2.1799091623147
"26","Apogonidae","AT12-1-2-1",1.33632696,1336.32696,"Sub Recent","Bocas","STRI Point","orig_df",0.9679553418,2.25194656440494
"27","Apogonidae","AT14-1-1",1.339532006,1339.532006,"Sub Recent","Bocas","Casa Blanca","orig_df",0.8864278795,2.25726910299453
"28","Apogonidae","AT14-1-3",1.365143468,1365.143468,"Sub Recent","Bocas","Casa Blanca","orig_df",0.996677237,2.29979480179865
"29","Apogonidae","AT14-1-8",1.378500144,1378.500144,"Sub Recent","Bocas","Casa Blanca","orig_df",0.9750952634,2.3219678391439
"30","Apogonidae","AT14-3-3",1.407910717,1407.910717,"Sub Recent","Bocas","Cayo Adriana","orig_df",1.025442579,2.37078053829427
"31","Apogonidae","AT12-1-2-1",1.441343285,1441.343285,"Sub Recent","Bocas","STRI Point","orig_df",1.084116128,2.42625057301832
"32","Apogonidae","AT14-1-7",1.528824716,1528.824716,"Sub Recent","Bocas","Casa Blanca","orig_df",1.109171123,2.57130908933598
"33","Apogonidae","AT12-1-2-1",1.543786858,1543.786858,"Sub Recent","Bocas","STRI Point","orig_df",1.113346145,2.59610650137682
"34","Apogonidae","AT14-1-3",1.545103464,1545.103464,"Sub Recent","Bocas","Casa Blanca","orig_df",1.154639937,2.59828840249443
"35","Apogonidae","AT12-1-2-1",1.545888416,1545.888416,"Sub Recent","Bocas","STRI Point","orig_df",1.189957215,2.59958922501025
"36","Apogonidae","AT12-1-2-1",1.570381169,1570.381169,"Sub Recent","Bocas","STRI Point","orig_df",1.230284451,2.64017382275204
"37","Apogonidae","AT14-1-7",1.623892203,1623.892203,"Sub Recent","Bocas","Casa Blanca","orig_df",1.15569127,2.7288100559636
"38","Apogonidae","AT12-1-2-1",1.624061315,1624.061315,"Sub Recent","Bocas","STRI Point","orig_df",1.128571226,2.72909010685918
"39","Apogonidae","AT14-1-2",1.62506275,1625.06275,"Sub Recent","Bocas","Casa Blanca","orig_df",1.252015529,2.73074848297156
"40","Apogonidae","AT12-1-2-1",1.691401637,1691.401637,"Sub Recent","Bocas","STRI Point","orig_df",1.179855533,2.84057304865255
"41","Apogonidae","AT14-1-8",1.692306444,1692.306444,"Sub Recent","Bocas","Casa Blanca","orig_df",1.240481314,2.84207052592251
"42","Apogonidae","AT12-1-2-1",1.701354584,1701.354584,"Sub Recent","Bocas","STRI Point","orig_df",1.164855224,2.85704477600817
"43","Apogonidae","AT12-1-2-1",1.706048093,1706.048093,"Sub Recent","Bocas","STRI Point","orig_df",1.309125845,2.86481185877267
"44","Apogonidae","AT14-1-3",1.724667035,1724.667035,"Sub Recent","Bocas","Casa Blanca","orig_df",1.231835692,2.89562048282832
"45","Apogonidae","AT14-3-3",1.751298297,1751.298297,"Sub Recent","Bocas","Cayo Adriana","orig_df",1.275519227,2.93967865120489
"46","Apogonidae","AT12-1-2-1",1.781612486,1781.612486,"Sub Recent","Bocas","STRI Point","orig_df",1.292519991,2.98981794042233
"47","Apogonidae","AT14-1-3",1.908211014,1908.211014,"Sub Recent","Bocas","Casa Blanca","orig_df",1.421852057,3.19907878429259
"48","Apogonidae","AT14-1-1",1.94554285,1945.54285,"Sub Recent","Bocas","Casa Blanca","orig_df",1.341435494,3.26074727939779
"49","Apogonidae","AT14-1-8",1.950585646,1950.585646,"Sub Recent","Bocas","Casa Blanca","orig_df",1.41474328,3.26907615415119
"50","Apogonidae","AT14-1-1",1.953203937,1953.203937,"Sub Recent","Bocas","Casa Blanca","orig_df",1.416752279,3.27340050033371
