"","family","sample","oto_length_mm","oto_length_um","type_age","region","locality","source","oto_width_mm","fish_length_cm","n_species","n_estimates","mean_a","mean_b","group_name","sed_weight_500_kg","sed_weight_whole_sample_kg","total_oto_count","fish_weight_g"
"28","Apogonidae","AT14-1-3",1.365143468,1365.143468,"Sub Recent","Bocas","Casa Blanca","orig_df",0.996677237,2.29979480179865,3,3,0.01806,2.9928,"AT14-1_3",0.177701,0.6843,95,0.218363903179649
"29","Apogonidae","AT14-1-8",1.378500144,1378.500144,"Sub Recent","Bocas","Casa Blanca","orig_df",0.9750952634,2.3219678391439,3,3,0.01806,2.9928,"AT14-1_5",0.186586,0.6334,63,0.224725410199847
"30","Apogonidae","AT14-3-3",1.407910717,1407.910717,"Sub Recent","Bocas","Cayo Adriana","orig_df",1.025442579,2.37078053829427,3,3,0.01806,2.9928,"AT14-3_2",0.195697,0.5768,34,0.239162226917554
"31","Apogonidae","AT12-1-2-1",1.441343285,1441.343285,"Sub Recent","Bocas","STRI Point","orig_df",1.084116128,2.42625057301832,3,3,0.01806,2.9928,"AT12-1_2",0.261,1.15,93,0.256302688751126
"32","Apogonidae","AT14-1-7",1.528824716,1528.824716,"Sub Recent","Bocas","Casa Blanca","orig_df",1.109171123,2.57130908933598,3,3,0.01806,2.9928,"AT14-1_4",0.178184,0.6442,58,0.304949194240701
"33","Apogonidae","AT12-1-2-1",1.543786858,1543.786858,"Sub Recent","Bocas","STRI Point","orig_df",1.113346145,2.59610650137682,3,3,0.01806,2.9928,"AT12-1_2",0.261,1.15,93,0.313835550819978
"34","Apogonidae","AT14-1-3",1.545103464,1545.103464,"Sub Recent","Bocas","Casa Blanca","orig_df",1.154639937,2.59828840249443,3,3,0.01806,2.9928,"AT14-1_3",0.177701,0.6843,95,0.314625603465473
"35","Apogonidae","AT12-1-2-1",1.545888416,1545.888416,"Sub Recent","Bocas","STRI Point","orig_df",1.189957215,2.59958922501025,3,3,0.01806,2.9928,"AT12-1_2",0.261,1.15,93,0.315097252635202
"36","Apogonidae","AT12-1-2-1",1.570381169,1570.381169,"Sub Recent","Bocas","STRI Point","orig_df",1.230284451,2.64017382275204,3,3,0.01806,2.9928,"AT12-1_2",0.261,1.15,93,0.330049860861142
"37","Apogonidae","AT14-1-7",1.623892203,1623.892203,"Sub Recent","Bocas","Casa Blanca","orig_df",1.15569127,2.7288100559636,3,3,0.01806,2.9928,"AT14-1_4",0.178184,0.6442,58,0.364333124791825
"38","Apogonidae","AT12-1-2-1",1.624061315,1624.061315,"Sub Recent","Bocas","STRI Point","orig_df",1.128571226,2.72909010685918,3,3,0.01806,2.9928,"AT12-1_2",0.261,1.15,93,0.364445038792788
"39","Apogonidae","AT14-1-2",1.62506275,1625.06275,"Sub Recent","Bocas","Casa Blanca","orig_df",1.252015529,2.73074848297156,3,3,0.01806,2.9928,"AT14-1_2",0.255748,0.58385,102,0.365108228573512
"40","Apogonidae","AT12-1-2-1",1.691401637,1691.401637,"Sub Recent","Bocas","STRI Point","orig_df",1.179855533,2.84057304865255,3,3,0.01806,2.9928,"AT12-1_2",0.261,1.15,93,0.410838475951837
"41","Apogonidae","AT14-1-8",1.692306444,1692.306444,"Sub Recent","Bocas","Casa Blanca","orig_df",1.240481314,2.84207052592251,3,3,0.01806,2.9928,"AT14-1_5",0.186586,0.6334,63,0.411487007617524
"42","Apogonidae","AT12-1-2-1",1.701354584,1701.354584,"Sub Recent","Bocas","STRI Point","orig_df",1.164855224,2.85704477600817,3,3,0.01806,2.9928,"AT12-1_2",0.261,1.15,93,0.418009626597894
"43","Apogonidae","AT12-1-2-1",1.706048093,1706.048093,"Sub Recent","Bocas","STRI Point","orig_df",1.309125845,2.86481185877267,3,3,0.01806,2.9928,"AT12-1_2",0.261,1.15,93,0.421419833589965
"44","Apogonidae","AT14-1-3",1.724667035,1724.667035,"Sub Recent","Bocas","Casa Blanca","orig_df",1.231835692,2.89562048282832,3,3,0.01806,2.9928,"AT14-1_3",0.177701,0.6843,95,0.43512909786102
"45","Apogonidae","AT14-3-3",1.751298297,1751.298297,"Sub Recent","Bocas","Cayo Adriana","orig_df",1.275519227,2.93967865120489,3,3,0.01806,2.9928,"AT14-3_2",0.195697,0.5768,34,0.455245395903045
"46","Apogonidae","AT12-1-2-1",1.781612486,1781.612486,"Sub Recent","Bocas","STRI Point","orig_df",1.292519991,2.98981794042233,3,3,0.01806,2.9928,"AT12-1_2",0.261,1.15,93,0.478880700164506
"47","Apogonidae","AT14-1-3",1.908211014,1908.211014,"Sub Recent","Bocas","Casa Blanca","orig_df",1.421852057,3.19907878429259,3,3,0.01806,2.9928,"AT14-1_3",0.177701,0.6843,95,0.586349249261474
"48","Apogonidae","AT14-1-1",1.94554285,1945.54285,"Sub Recent","Bocas","Casa Blanca","orig_df",1.341435494,3.26074727939779,3,3,0.01806,2.9928,"AT14-1_1",0.235586,0.6604,39,0.620830842623617
"49","Apogonidae","AT14-1-8",1.950585646,1950.585646,"Sub Recent","Bocas","Casa Blanca","orig_df",1.41474328,3.26907615415119,3,3,0.01806,2.9928,"AT14-1_5",0.186586,0.6334,63,0.625588848959604
"50","Apogonidae","AT14-1-1",1.953203937,1953.203937,"Sub Recent","Bocas","Casa Blanca","orig_df",1.416752279,3.27340050033371,3,3,0.01806,2.9928,"AT14-1_1",0.235586,0.6604,39,0.628068750290779
"51","Apogonidae","AT14-1-8",1.964138115,1964.138115,"Sub Recent","Bocas","Casa Blanca","orig_df",1.590145872,3.29145838316441,3,3,0.01806,2.9928,"AT14-1_5",0.186586,0.6334,63,0.63849522627754
"52","Apogonidae","AT12-1-2-1",2.001380853,2001.380853,"Sub Recent","Bocas","STRI Point","orig_df",1.442103438,3.35295415915222,3,3,0.01806,2.9928,"AT12-1_2",0.261,1.15,93,0.674865947231262
"53","Apogonidae","AT14-1-2",2.04190424,2041.90424,"Sub Recent","Bocas","Casa Blanca","orig_df",1.330806483,3.41984812555059,3,3,0.01806,2.9928,"AT14-1_2",0.255748,0.58385,102,0.715967577295173
"54","Apogonidae","AT12-1-2-1",2.069616646,2069.616646,"Sub Recent","Bocas","STRI Point","orig_df",1.471343281,3.46558324673032,3,3,0.01806,2.9928,"AT12-1_2",0.261,1.15,93,0.745007016271239
"55","Apogonidae","AT14-1-2",2.076924728,2076.924728,"Sub Recent","Bocas","Casa Blanca","orig_df",1.620789402,3.47764264044965,3,3,0.01806,2.9928,"AT14-1_2",0.255748,0.58385,102,0.752792616859417
"56","Apogonidae","AT12-1-2-1",2.086939716,2086.939716,"Sub Recent","Bocas","STRI Point","orig_df",1.496958705,3.49416782068325,3,3,0.01806,2.9928,"AT12-1_2",0.261,1.15,93,0.763549066058232
"57","Apogonidae","AT14-1-8",2.175918365,2175.918365,"Sub Recent","Bocas","Casa Blanca","orig_df",1.611214394,3.64093665560193,3,3,0.01806,2.9928,"AT14-1_5",0.186586,0.6334,63,0.863607451946992
"58","Apogonidae","AT14-1-7",2.180811687,2180.811687,"Sub Recent","Bocas","Casa Blanca","orig_df",1.496609675,3.64900554926974,3,3,0.01806,2.9928,"AT14-1_4",0.178184,0.6442,58,0.86934800309222
"59","Apogonidae","AT14-1-8",2.366805573,2366.805573,"Sub Recent","Bocas","Casa Blanca","orig_df",1.819834339,3.95551240628244,3,3,0.01806,2.9928,"AT14-1_5",0.186586,0.6334,63,1.10669039105106
"60","Apogonidae","AT14-1-1",2.585839296,2585.839296,"Sub Recent","Bocas","Casa Blanca","orig_df",1.816993048,4.31602024426957,3,3,0.01806,2.9928,"AT14-1_1",0.235586,0.6604,39,1.43679750174092
"61","Apogonidae","AT14-1-1",2.745724838,2745.724838,"Sub Recent","Bocas","Casa Blanca","orig_df",1.848014555,4.57889375294857,3,3,0.01806,2.9928,"AT14-1_1",0.235586,0.6604,39,1.71491251282872
